date,open,high,low,close,volume
2021-08-02,146.3600,146.9500,145.2500,145.5200,62880000
2021-08-03,145.8100,148.0400,145.1800,147.3600,64786600
2021-08-04,147.2700,147.7900,146.2800,146.9500,56368300
2021-08-05,146.9800,147.8400,146.1700,147.0600,46397700
2021-08-06,146.3500,147.1100,145.6300,146.1400,54126800
2021-08-09,146.2000,146.7000,145.5200,146.0900,48908700
2021-08-10,146.4400,147.7100,145.3000,145.6000,69023100
2021-08-11,146.0500,146.7200,145.5300,145.8600,48493500
2021-08-12,146.1900,149.0500,145.8400,148.8900,72282600
2021-08-13,148.9700,149.4400,148.2700,149.1000,59375000
2021-08-16,148.5400,151.1900,146.4700,151.1200,103296000
2021-08-17,150.2300,151.6800,149.0900,150.1900,92229700
2021-08-18,149.8000,150.7200,146.1500,146.3600,86326000
2021-08-19,145.0300,148.0000,144.5000,146.7000,86960300
2021-08-20,147.4400,148.5000,146.7800,148.1900,60549600
2021-08-23,148.3100,150.1900,147.8900,149.7100,60131800
2021-08-24,149.4500,150.8600,149.1500,149.6200,48606400
2021-08-25,149.8100,150.3200,147.8000,148.3600,58991300
2021-08-26,148.3500,149.1200,147.5100,147.5400,48597200
2021-08-27,147.4800,148.7500,146.8300,148.6000,55802400
2021-08-30,149.0000,153.4900,148.6100,153.1200,90956700
2021-08-31,152.6600,152.8000,151.2900,151.8300,86453100
2021-09-01,152.8300,154.9800,152.3400,152.5100,80313700
2021-09-02,153.8700,154.7200,152.4000,153.6500,71115500
2021-09-03,153.7600,154.6300,153.0900,154.3000,57808700
2021-09-07,154.9700,157.2600,154.3900,156.6900,82278300
2021-09-08,156.9800,157.0400,153.9800,155.1100,74420200
2021-09-09,155.4900,156.1100,153.9500,154.0700,57305700
2021-09-10,155.0000,155.4800,148.7000,148.9700,140893200
2021-09-13,150.6300,151.4200,148.7500,149.5500,102404300
2021-09-14,150.3500,151.0700,146.9100,148.1200,109296300
2021-09-15,148.5600,149.4400,146.3700,149.0300,83281300
2021-09-16,148.4400,148.9700,147.2200,148.7900,68034100
2021-09-17,148.8200,148.8200,145.7600,146.0600,129868800
2021-09-20,143.8000,144.8400,141.2700,142.9400,123478900
2021-09-21,143.9300,144.6000,142.7800,143.4300,75834000
2021-09-22,144.4500,146.4300,143.7000,145.8500,76404300
2021-09-23,146.6500,147.0800,145.6400,146.8300,64838200
2021-09-24,145.6600,147.4700,145.5600,146.9200,53477900
2021-09-27,145.4700,145.9600,143.8200,145.3700,74150700
2021-09-28,143.2500,144.7500,141.6900,141.9100,108972300
2021-09-29,142.4700,144.4500,142.0300,142.8300,74602000
2021-09-30,143.6600,144.3800,141.2800,141.5000,89056700
2021-10-01,141.9000,142.9200,139.1100,142.6500,94639600
2021-10-04,141.7600,142.2100,138.2700,139.1400,98322000
2021-10-05,139.4900,142.2400,139.3600,141.1100,80861100
2021-10-06,139.4700,142.1500,138.3700,142.0000,83221100
2021-10-07,143.0600,144.2200,142.7200,143.2900,61732700
2021-10-08,144.0300,144.1800,142.5600,142.9000,58773200
2021-10-11,142.2700,144.8100,141.8100,142.8100,64452200
2021-10-12,143.2300,143.2500,141.0400,141.5100,73035900
2021-10-13,141.2400,141.4000,139.2000,140.9100,78762700
2021-10-14,142.1100,143.8800,141.5100,143.7600,69907100
2021-10-15,143.7700,144.9000,143.5100,144.8400,67940300
2021-10-18,143.4500,146.8400,143.1600,146.5500,85589200
2021-10-19,147.0100,149.1700,146.5500,148.7600,76378900
2021-10-20,148.7000,149.7500,148.1200,149.2600,58418800
2021-10-21,148.8100,149.6400,147.8700,149.4800,61421000
2021-10-22,149.6900,150.1800,148.6400,148.6900,58883400
2021-10-25,148.6800,149.3700,147.6200,148.6400,50720600
2021-10-26,149.3300,150.8400,149.0100,149.3200,60893400
2021-10-27,149.3600,149.7300,148.4900,148.8500,56094900
2021-10-28,149.8200,153.1700,149.7200,152.5700,100077900
2021-10-29,147.2200,149.9400,146.4100,149.8000,124953200
2021-11-01,148.9900,149.7000,147.8000,148.9600,74588300
