date,open,high,low,close,volume
2021-08-02,19.7000,19.9610,19.3610,19.7500,217444000
2021-08-03,19.7400,20.2220,19.2200,19.8150,301811000
2021-08-04,19.9900,20.3180,19.8280,20.2740,231309000
2021-08-05,20.5000,20.7330,20.3420,20.6370,211435000
2021-08-06,20.5240,20.5700,20.2100,20.3660,178497000
2021-08-09,20.4460,20.5080,20.1430,20.2950,146443000
2021-08-10,20.3220,20.4300,19.8350,19.9360,179238000
2021-08-11,20.0430,20.0490,19.4300,19.6990,185925000
2021-08-12,19.8700,20.0290,19.6200,19.9050,151652000
2021-08-13,19.9050,20.2140,19.8510,20.1880,183063000
2021-08-16,20.1350,20.2870,19.4530,19.9500,210876000
2021-08-17,19.6850,19.7700,19.2670,19.4580,204585000
2021-08-18,19.5000,19.6340,19.0000,19.0400,285913000
2021-08-19,19.4940,20.4950,18.7620,19.7980,766555000
2021-08-20,19.9910,20.8650,19.9330,20.8160,675741000
2021-08-23,20.9710,21.9970,20.9500,21.9580,575807000
2021-08-24,21.7530,21.9590,21.5350,21.7930,297299000
2021-08-25,21.7370,22.4700,21.7220,22.2130,347701000
2021-08-26,22.2000,22.3400,21.7900,22.0680,237940000
2021-08-27,22.1840,22.7220,22.1670,22.6360,304722000
2021-08-30,22.8300,23.0430,22.5510,22.6880,262580000
2021-08-31,22.6950,22.6950,22.1200,22.3850,259850000
2021-09-01,22.4850,22.6970,22.3570,22.4410,201767000
2021-09-02,22.5180,22.5930,22.2950,22.3960,187834000
2021-09-03,22.3250,22.9860,22.2000,22.8430,280532000
2021-09-07,22.8330,22.8990,22.5220,22.6620,198107000
2021-09-08,22.5130,22.6100,21.9770,22.3390,254434000
2021-09-09,22.3120,22.5380,22.1310,22.1770,196856000
2021-09-10,22.3480,22.6260,22.2700,22.4780,248376000
2021-09-13,22.6840,22.9640,21.8580,22.1520,297500000
2021-09-14,22.2750,22.4100,22.0860,22.2420,199755000
2021-09-15,22.3090,22.3670,21.9660,22.3410,166538000
2021-09-16,22.1830,22.2770,21.9270,22.2420,156033000
2021-09-17,22.3000,22.3210,21.8300,21.9000,294503000
2021-09-20,21.1460,21.4330,20.6620,21.1130,349440000
2021-09-21,21.4170,21.4250,20.9500,21.2460,204688000
2021-09-22,21.3660,21.9600,21.1960,21.9410,268726000
2021-09-23,22.1400,22.5350,21.8900,22.4820,248555000
2021-09-24,22.0700,22.1490,21.8610,22.0810,217655000
2021-09-27,21.7100,21.7990,21.3250,21.6600,245215000
2021-09-28,21.2140,21.4190,20.6510,20.6990,343069000
2021-09-29,20.9400,21.0170,20.4670,20.5170,218394000
2021-09-30,20.7680,21.0660,20.6880,20.7160,221009000
2021-10-01,20.7500,20.8590,20.2030,20.7420,240978000
2021-10-04,20.5040,20.5420,19.5550,19.7320,345635000
2021-10-05,19.9500,20.6480,19.8540,20.4510,279282000
