date,open,high,low,close,volume
2026-02-04,493.92,496.5,491.11,494.75,8797109
2026-02-05,492.51,493.44,488.23,488.91,7767470
2026-02-06,492.37,501.671,492.13,501.03,10635294
2026-02-09,500.11,502.16,498.305,501.22,6414839
2026-02-10,502.34,505.3,501.26,501.9,8163068
2026-02-11,504.21,505.12,499.13,501.33,5743835
2026-02-12,503.13,504.54,494.32,494.67,9160254
2026-02-13,495.04,497.78,491.2,495.28,8378127
2026-02-17,495.33,497.574,492.11,495.85,6779371
2026-02-18,496.78,499.34,494.65,497,4454285
2026-02-19,495.555,496.49,492.41,494.38,4625358
2026-02-20,492.54,497,491.39,496.08,6086802
2026-02-23,494.5,496.99,487.15,488.01,8269234
2026-02-24,488.39,492.85,487.45,491.79,5334965
2026-02-25,493.63,495.13,491.9,494.82,4446243
2026-02-26,497,498.21,492.237,494.86,6467010
2026-02-27,489.63,490.95,486.76,489.66,7198388
2026-03-02,484.34,490.98,484.15,489.18,7218544
2026-03-03,480.16,487.39,476.73,485.52,11570718
2026-03-04,486.56,489.03,483.95,487.74,7590661
2026-03-05,483.82,485.49,476.15,479.84,8768186
2026-03-06,473.72,476.23,470.46,475.23,8206051
2026-03-09,470.88,479.38,466.68,477.88,10305562
2026-03-10,477.74,482.87,475.01,477.7,6265551
2026-03-11,477.4,477.77,472.46,474.81,6701727
2026-03-12,470.34,471.48,467.41,467.48,8000156
2026-03-13,469.94,472.1,465.78,466.41,7471659
2026-03-16,470.07,472.7,468.98,470.3,7059905
2026-03-17,473.38,475.13,470.625,470.9,6189359
2026-03-18,468.77,469.75,462.76,463,7090658
2026-03-19,459.97,463.37,458.16,461.06,7882772
2026-03-20,458.73,460.57,453.542,455.89,10543329
2026-03-23,463.3,467.04,460.92,461.97,9978109
2026-03-24,458.42,463.94,457.44,461.17,8187957
2026-03-25,465.73,467.24,461.8,464.14,7019656
2026-03-26,461.54,465.43,458.94,459.31,8283970
2026-03-27,457.36,457.5,450.49,451.39,6938536
2026-03-30,455.6,456.12,450.44,452.06,9181633
2026-03-31,456.81,463.82,454.67,463.19,11656260
2026-04-01,466,467.9,464.5,465.48,7790319
2026-04-02,460.16,467.52,458.88,465.06,3955899
2026-04-06,464.16,467.02,463.46,466.77,2905316
2026-04-07,465.75,466.31,462.11,465.88,3943164
2026-04-08,478.88,480.2,475.56,479.16,4697522
2026-04-09,477.49,483.27,477.01,481.9,4213669
2026-04-10,482.195,482.4,478.63,479.25,2659020
2026-04-13,476.1,482.28,475.15,482.13,3768673
2026-04-14,482.41,485.97,481.86,485.49,4217886
2026-04-15,486.51,487.08,482.86,484.72,3474538
2026-04-16,485.82,486.78,483.35,485.63,4111479
2026-04-17,490.67,497.04,490.36,494.22,10238744
2026-04-20,493.45,494.775,492.31,494.33,3764008
2026-04-21,497.24,498.38,490.315,491.36,4322233
2026-04-22,495.32,496.14,493.23,494.76,4022387
2026-04-23,492.55,495.13,488.51,493,4077321
2026-04-24,493.05,493.49,490.77,492.21,3372258
2026-04-27,491.6,493.55,490.29,491.83,2132060
2026-04-28,493.46,493.82,490.77,491.42,3057137
2026-04-29,490.95,491.49,487,488.67,3322302
2026-04-30,490.98,497.58,490.39,496.65,5352282
2026-05-01,498.84,499.93,494.91,495.02,4402582
2026-05-04,493.5,494.33,489,489.56,3310394
2026-05-05,491.89,493.585,490.03,492.96,3386211
2026-05-06,496.98,500.08,496.9,499.05,4317279
2026-05-07,500.51,501.2,494.77,495.91,4490483
2026-05-08,498.48,498.55,494.93,496.13,3495210
2026-05-11,495.8,497.84,494.76,497.11,4249103
2026-05-12,496.51,498.41,493.19,497.89,7445672
2026-05-13,496.16,497.61,494.635,497.14,3256845
2026-05-14,501.39,502.16,498.85,500.8,4920475
2026-05-15,497.32,497.74,495.08,495.37,5300701
2026-05-18,495.65,497.64,493.6,497.01,5496211
2026-05-19,494.83,496.34,492.58,493.98,5361298
2026-05-20,495.87,500.93,492.49,500.24,6516124
2026-05-21,498.78,504.05,497.21,503.11,6575983
2026-05-22,507.01,508.74,505.69,506.12,5176149
2026-05-26,507.57,508.24,503.97,505.25,3897759
2026-05-27,505.93,508.7,505.81,506.88,4247835
2026-05-28,505.335,508.21,503.64,507.05,3716022
2026-05-29,507.9,511.305,507.2,510.78,5346659
2026-06-01,509.85,511.855,508.33,511.44,4424845
2026-06-02,509.08,514.49,508.93,514.05,5078013
2026-06-03,511.17,512.85,507.99,508.26,4098010
2026-06-04,513.69,517.58,512.68,516.7,6390701
2026-06-05,517.71,517.75,508.75,509.7,6610717
2026-06-08,510.765,513.755,508.32,508.91,4825656
2026-06-09,511.48,513.54,503.08,509.41,6249368
2026-06-10,507.485,508.74,500.1,500.25,5153353
2026-06-11,503.19,510.76,501.57,509.36,6353938
2026-06-12,512.89,515.3,509.48,513.06,8384505
2026-06-15,519.23,520.84,517.865,518.44,5379359
2026-06-16,520.32,523.3,520.06,521.44,4812555
2026-06-17,521.26,524.17,515.3,516.3,6563468
2026-06-18,518.43,519.52,515.43,515.52,7134373
2026-06-22,516.84,518.91,515.99,517.08,6552163
2026-06-23,514.68,518.718,512.97,516.62,5039189
2026-06-24,516.19,522.43,516.01,518.52,4395936
2026-06-25,521.19,526.57,518.55,519.26,5379836
2026-06-26,517,521.28,516.1,517.75,3823618
2026-06-29,520.63,522.975,519.4,521.68,5733423
2026-06-30,522.35,523.14,519.59,522.39,3607943
2026-07-01,521.43,526.72,519.62,522.4,3438379
2026-07-02,525.49,528.26,523.73,527.88,3536644
2026-07-06,528.72,530.09,525.85,530.09,3236864
2026-07-07,532.505,532.54,527.11,528.45,4489168
2026-07-08,523.34,524.46,520.03,522.77,3574981
2026-07-09,523.65,525.15,522.135,524.19,3056449
2026-07-10,525.64,526.47,521.74,525.78,3469449
2026-07-13,525.84,527.86,522.9,524.47,2723754
2026-07-14,523.32,526.72,522.56,524.69,3664023
2026-07-15,525.895,527.73,523.7,525.95,3246876
2026-07-16,526.81,527.93,523.07,524.83,3173322
2026-07-17,519.64,525.36,518.9,520.81,4741258
2026-07-20,522.04,523.4,517.16,517.94,2253571
2026-07-21,519.63,523.01,518.12,521.51,3055352
2026-07-22,521.63,524.37,521.01,521.47,3077018
2026-07-23,515.07,518.17,514.72,516.26,3955223
2026-07-24,517.28,520.56,516.27,518.76,3262830
2026-07-27,524.7,525.34,519.29,521.26,3240721
2026-07-28,526.19,528.47,523.67,526.89,4736871
2026-07-29,522.46,523.17,514.82,515.41,6648150
2026-07-30,518.84,521.98,515.87,521.51,3042895
2026-07-31,524.08,525.61,519.25,524.32,3880728
2026-08-03,529.55,531.65,528.69,531.22,4112497
2026-08-04,537.9,541.06,536,541.11,4269384
