date,open,high,low,close,volume
2026-02-04,264.16,264.65,257.14,260.52,48826545
2026-02-05,258.5,261.62,255.05,255.83,48279639
2026-02-06,259.74,265.72,259.58,265.02,43354860
2026-02-09,264.84,267.67,263.34,266.88,29064849
2026-02-10,267.23,268.52,265.88,266.16,24661655
2026-02-11,268.47,268.96,262.1,264.95,41829428
2026-02-12,267.02,267.46,258.39,259.54,47628169
2026-02-13,260.6,265.17,258.51,262.96,45360322
2026-02-17,262.375,264.36,259.06,263.04,33734782
2026-02-18,263.03,266.91,261.85,263.99,36034689
2026-02-19,262.57,264.64,261.075,264.6,31005952
2026-02-20,262.85,267.33,262.14,264.61,47126576
2026-02-23,263.4,264.37,258.1,260.49,44001083
2026-02-24,260.4,264.14,259.86,263.33,34884242
2026-02-25,265.25,265.281,262.43,264.58,26012137
2026-02-26,265.01,266.235,262.12,265.99,41206465
2026-02-27,262.095,262.76,259.77,261.41,40631480
2026-03-02,257.81,264.28,257.79,263.81,53495715
2026-03-03,256.8,261.12,253.31,259.24,59536971
2026-03-04,261.2,262.96,258.82,261.76,37979725
2026-03-05,258.99,260.755,254.16,256.76,60414629
2026-03-06,251.49,253.3,249.94,250.89,64191990
2026-03-09,247.59,254.65,244.39,253.62,65369511
2026-03-10,252.96,257.65,252.4,253.36,55879095
2026-03-11,252.34,254.38,250.58,252.85,50418071
2026-03-12,248.94,249.805,246.575,247.41,61802935
2026-03-13,249.26,250.61,245.535,246.59,53933299
2026-03-16,249.76,251.465,248.31,248.92,48755653
2026-03-17,249.87,251.71,248.96,250.05,40642765
2026-03-18,248.41,249.23,245.88,246.02,43192622
2026-03-19,243.03,250.085,242.52,247.63,59219537
2026-03-20,246.97,247.5,240.33,242.22,76749856
2026-03-23,247.17,251.36,246.11,247.45,78746581
2026-03-24,245.51,250.16,244.6,248.78,45210764
2026-03-25,251.74,253.07,249.52,251.82,45671741
2026-03-26,248.89,251.86,247.16,247.44,46830212
2026-03-27,246.01,246.74,242.41,243.1,48114404
2026-03-30,245.35,245.37,238.69,239.61,51290488
2026-03-31,243.04,248.92,242.24,248,58660823
2026-04-01,249.92,252.44,249.11,249.56,51295864
2026-04-02,244.94,252.37,244.87,251.29,30369203
2026-04-06,250.99,253.05,250.25,252.36,22151444
2026-04-07,251.21,253.48,249.52,252.91,34881919
2026-04-08,261.52,262.27,258.41,260.47,46680248
2026-04-09,258.78,262.9,258.78,261.96,26758382
2026-04-10,262.4,262.75,260.34,261.3,22365908
2026-04-13,260.24,265.36,260.02,265.07,23820000
2026-04-14,267.09,269.42,266.28,268.72,24270358
2026-04-15,268.78,269.585,267.59,269.39,21670617
2026-04-16,269.45,270.35,268.05,269.95,30847915
2026-04-17,273.74,277.63,273.115,275.78,46462703
2026-04-20,274.65,277.665,274.53,277.35,22993851
2026-04-21,278.175,279.79,273.76,274.51,32235226
2026-04-22,277.59,278.01,274.9,276.48,20274267
2026-04-23,276.73,277.87,271.95,275.52,32886591
2026-04-24,276.67,278.13,274.23,276.65,21568587
2026-04-27,276.82,278.24,276.25,277.14,23399408
2026-04-28,276.05,276.97,272.915,273.91,24139406
2026-04-29,273.92,274.38,270.36,272.08,29428947
2026-04-30,273.13,278.22,272.44,277.97,29220714
2026-05-01,278.66,279.81,276.57,279.28,28936703
2026-05-04,278.7,280.79,276.1,277.88,28632338
2026-05-05,280.13,282.945,280,282.56,24863175
2026-05-06,285.36,287.045,283.36,286.8,23330334
2026-05-07,287.53,287.58,281.15,282.26,28350394
2026-05-08,284.035,284.97,282.61,284.17,22474309
2026-05-11,284.92,287.05,284.59,285.33,20150350
2026-05-12,284.04,284.06,278.28,282.57,27404639
2026-05-13,282.92,283.56,279.93,282.67,20742270
2026-05-14,283.84,285.655,281.96,284.45,17428746
2026-05-15,280.3,280.33,277.24,277.6,35407975
2026-05-18,278.74,279.08,273.94,275.97,27243341
2026-05-19,273.805,275.075,270.63,273,30276939
2026-05-20,274.91,280.09,273.41,279.87,31562006
