date,open,high,low,close,volume
2021-08-02,286.3600,286.7700,283.7400,284.8200,16267400
2021-08-03,285.4200,287.2300,284.0000,287.1200,17879000
2021-08-04,286.2200,287.5900,284.6500,286.5100,16191300
2021-08-05,286.8800,289.6300,286.1000,289.5200,13900200
2021-08-06,288.5100,289.5000,287.6200,289.4600,16589300
2021-08-09,289.7500,291.5500,287.8100,288.3300,16117600
2021-08-10,288.8000,289.2500,285.2000,286.4400,18616600
2021-08-11,287.2100,288.6600,285.8600,286.9500,13955900
2021-08-12,286.6300,289.9700,286.3400,289.8100,14561300
2021-08-13,289.4800,292.9000,289.3000,292.8500,18249000
2021-08-16,293.1900,294.8200,290.0200,294.6000,22507600
2021-08-17,292.3900,293.4300,291.0800,293.0800,20075300
2021-08-18,292.0400,294.8200,290.2700,290.7300,21813000
2021-08-19,288.6900,297.4700,288.6400,296.7700,29850500
2021-08-20,299.7200,305.8400,298.0600,304.3600,40817600
2021-08-23,303.2500,305.4000,301.8500,304.6500,22830200
2021-08-24,305.0200,305.6500,302.0000,302.6200,18175800
2021-08-25,304.3000,304.5900,300.4200,302.0100,20006100
2021-08-26,300.9900,302.4300,298.9500,299.0900,17666100
2021-08-27,298.9900,300.8700,296.8300,299.7200,22605700
2021-08-30,301.1200,304.2200,301.0600,303.5900,16348100
2021-08-31,304.4200,304.5000,301.5000,301.8800,26285300
2021-09-01,302.8700,305.1900,301.4900,301.8300,18983800
2021-09-02,302.2000,303.3600,300.1800,301.1500,16285600
2021-09-03,300.9900,302.6000,300.2600,301.1400,14747900
2021-09-07,301.0100,301.0900,298.2000,300.1800,17180400
2021-09-08,299.7800,300.6100,297.4700,300.2100,15046800
2021-09-09,300.8200,302.1400,297.0000,297.2500,19927000
2021-09-10,298.4200,299.9200,295.3800,295.7100,19633400
2021-09-13,297.5500,298.5400,294.0800,296.9900,23652900
2021-09-14,299.5600,301.3900,298.1000,299.7900,21853400
2021-09-15,303.2600,305.3200,301.8200,304.8200,28356300
2021-09-16,303.7600,305.3100,300.7600,305.2200,19550800
2021-09-17,304.1700,304.5000,299.5300,299.8700,41372500
2021-09-20,296.3300,298.7200,289.5200,294.3000,38278700
2021-09-21,295.6900,297.5400,294.0700,294.8000,22364100
2021-09-22,296.7300,300.2200,294.5100,298.5800,26626300
2021-09-23,298.8500,300.9000,297.5300,299.5600,18604600
2021-09-24,298.2300,299.8000,296.9300,299.3500,14999000
2021-09-27,296.1400,296.4700,292.9400,294.1700,23571700
2021-09-28,289.8000,290.7800,282.7500,283.5200,43186200
2021-09-29,285.1000,286.7700,283.0100,284.0000,26353700
2021-09-30,285.7100,287.8300,281.6200,281.9200,32343600
2021-10-01,282.1200,289.9800,281.2900,289.1000,30086300
2021-10-04,287.4000,287.7500,280.2500,283.1100,31350700
2021-10-05,284.0500,290.4000,284.0500,288.7600,24993000
2021-10-06,285.7800,293.6300,285.5100,293.1100,28002600
2021-10-07,295.1800,296.6400,293.9200,294.8500,20430500
2021-10-08,296.2200,296.6400,293.7600,294.8500,17685700
2021-10-11,292.9200,297.9700,292.7500,294.2300,19298600
2021-10-12,295.3400,295.4400,292.3500,292.8800,17974100
2021-10-13,294.9100,297.2800,293.4900,296.3100,23416300
2021-10-14,299.2100,303.2700,297.8300,302.7500,27262900
2021-10-15,302.3400,304.4500,300.5200,304.2100,25384800
2021-10-18,303.5700,308.2100,302.6900,307.2900,22729300
2021-10-19,308.3500,309.3000,307.2200,308.2300,17682100
2021-10-20,309.2100,309.7000,306.1100,307.4100,16537100
2021-10-21,307.1700,311.0200,306.3600,310.7600,16918100
2021-10-22,310.4000,311.0900,307.8000,309.1600,17449300
2021-10-25,309.3600,309.4000,306.4600,308.1300,17554500
2021-10-26,311.0000,312.4000,308.6000,310.1100,28107300
2021-10-27,316.0000,326.1000,316.0000,323.1700,52588700
2021-10-28,324.3300,324.8700,321.3600,324.3500,26297900
2021-10-29,324.1300,332.0000,323.9000,331.6200,34766000
2021-11-01,331.3600,331.4900,326.3700,329.3700,27073200
2021-11-02,330.3100,333.4500,330.0000,333.1300,26487100
2021-11-03,333.9000,334.9000,330.6500,334.0000,21500100
2021-11-04,332.8900,336.5400,329.5100,336.4400,23992200
2021-11-05,338.5100,338.7900,334.4200,336.0600,22570100
2021-11-08,337.3000,337.6500,334.4400,336.9900,20897000
2021-11-09,337.1100,338.7200,334.5300,335.9500,21307400
2021-11-10,334.5700,334.6300,329.9200,330.8000,25500900
2021-11-11,331.2500,333.7700,330.5100,332.4300,16849800
2021-11-12,333.9200,337.2300,333.7900,336.7200,23831000
2021-11-15,337.5400,337.8800,334.0300,336.0700,16723000
2021-11-16,335.6800,340.6700,335.5100,339.5100,20886800
2021-11-17,338.9400,342.1900,338.0000,339.1200,19053400
2021-11-18,338.1800,342.4500,337.1200,341.2700,22463500
2021-11-19,342.6400,345.1000,342.2000,343.1100,21963400
2021-11-22,344.6200,349.6700,339.5500,339.8300,31031100
2021-11-23,337.0500,339.4500,333.5600,337.6800,30427600
2021-11-24,336.2800,338.1600,333.9100,337.9100,21661300
2021-11-26,334.3500,337.9300,328.1200,329.6800,24217200
2021-11-29,334.9400,339.0300,334.7400,336.6300,28563500
2021-11-30,335.3200,337.7800,328.9900,330.5900,42885600
2021-12-01,335.1300,339.2800,329.3900,330.0800,33337600
2021-12-02,330.3000,333.4900,327.8000,329.4900,30766000
2021-12-03,331.9900,332.7000,318.0300,323.0100,41779300
2021-12-06,323.9500,327.4500,319.2300,326.1900,30032600
2021-12-07,331.6400,335.8000,330.1000,334.9200,31021900
2021-12-08,335.3100,335.5000,330.8000,334.9700,24761000
2021-12-09,334.4100,336.4900,332.1200,333.1000,22214200
2021-12-10,334.9800,343.0000,334.7900,342.5400,38095700
2021-12-13,340.6800,343.7900,339.0800,339.4000,28899400
2021-12-14,333.2200,334.6400,324.1100,328.3400,44438700
2021-12-15,328.6100,335.1900,324.5000,334.6500,35381100
2021-12-16,335.7100,336.7600,323.0200,324.9000,35034800
