date,open,high,low,close,volume
2026-07-01,550.00,555.50,548.20,554.10,72000000
2026-07-02,554.10,558.40,552.30,557.80,68000000
2026-07-03,557.80,559.20,553.90,555.25,61000000
2026-07-06,555.25,560.75,554.80,559.90,70000000
2026-07-07,559.90,562.10,557.20,558.45,73500000
2026-07-08,558.45,563.60,557.90,562.85,69500000
2026-07-09,562.85,566.40,561.75,565.20,71000000
2026-07-10,565.20,567.10,563.00,566.55,65000000
2026-07-13,566.55,569.80,565.15,568.90,67500000
2026-07-14,568.90,570.30,566.50,567.40,69000000
2026-07-15,567.40,571.25,566.80,570.75,70500000
2026-07-16,570.75,573.10,569.45,572.20,66000000
2026-07-17,572.20,574.00,570.10,571.55,64000000
2026-07-20,571.55,575.80,570.90,574.95,71500000
2026-07-21,574.95,578.25,573.70,577.80,73500000
2026-07-22,577.80,579.10,575.60,576.35,69000000
2026-07-23,576.35,580.40,575.85,579.75,72000000
2026-07-24,579.75,582.30,578.60,581.40,71000000
2026-07-27,581.40,584.20,580.10,583.65,74500000
2026-07-28,583.65,585.00,581.70,582.25,70000000
2026-07-29,582.25,586.10,581.40,585.50,73500000
2026-07-30,585.50,588.60,584.75,587.95,75000000
2026-07-31,587.95,590.20,586.10,589.40,78000000
