date,open,high,low,close,volume
2021-08-02,233.3333,242.3133,232.8000,236.5567,100847400
2021-08-03,239.6667,240.8833,233.6700,236.5800,64860900
2021-08-04,237.0000,241.6333,236.3100,236.9733,51007800
2021-08-05,238.6667,240.3167,237.1367,238.2100,38758800
2021-08-06,237.3000,238.7767,232.5433,233.0333,46869000
2021-08-09,236.7233,239.6767,235.0433,237.9200,44145900
2021-08-10,237.9967,238.8633,233.9600,236.6633,40296900
2021-08-11,237.5700,238.3933,234.7367,235.9400,29401800
2021-08-12,235.4467,240.9333,233.1333,240.7500,52377300
2021-08-13,241.2367,243.3000,238.1133,239.0567,50194500
2021-08-16,235.0233,236.5000,225.4667,228.7233,68032200
2021-08-17,224.2200,224.8600,216.2800,221.9033,71163900
2021-08-18,223.2500,231.9233,223.1167,229.6633,61048200
2021-08-19,226.0700,228.8500,222.5300,224.4900,42940500
2021-08-20,227.6167,230.7100,224.5667,226.7533,44525700
2021-08-23,228.4800,237.3767,226.9167,235.4333,60794700
2021-08-24,236.8933,238.4067,234.2133,236.1633,39249300
2021-08-25,235.6767,238.9900,234.6667,237.0667,37936800
2021-08-26,236.1033,238.4667,232.5400,233.7200,39642900
2021-08-27,235.0000,238.3333,234.0333,237.3067,41501400
2021-08-30,238.2400,243.6667,237.5767,243.6367,55812600
2021-08-31,244.3333,246.7967,242.1467,245.2400,62566200
2021-09-01,244.6933,247.3300,243.7567,244.6967,39612900
2021-09-02,244.8333,246.9900,243.5133,244.1300,38331900
2021-09-03,244.0833,244.6667,241.4000,244.5233,45738300
2021-09-07,246.6667,253.4000,246.4200,250.9733,60119400
2021-09-08,253.8600,254.8167,246.9233,251.2900,56379000
2021-09-09,251.1367,254.0333,250.5433,251.6200,42233100
2021-09-10,253.2000,254.2033,244.8400,245.4233,45552600
2021-09-13,246.7367,248.2600,236.2833,247.6667,68857500
2021-09-14,247.5233,251.4900,245.4667,248.1633,55574700
2021-09-15,248.3333,252.2867,246.1200,251.9433,46073100
2021-09-16,250.9433,252.9700,249.2033,252.3300,41770200
2021-09-17,252.3833,253.6800,250.0000,253.1633,84612600
2021-09-20,244.8533,247.3333,239.5400,243.3900,74273100
2021-09-21,244.9300,248.2467,243.4800,246.4600,48992100
2021-09-22,247.8433,251.2233,246.3733,250.6467,45378900
2021-09-23,251.6667,252.7333,249.3067,251.2133,35842500
2021-09-24,248.6300,258.2667,248.1867,258.1300,64119000
2021-09-27,257.7067,266.3333,256.4367,263.7867,84212100
2021-09-28,262.4000,265.2133,255.3933,259.1867,76144200
2021-09-29,259.9333,264.5000,256.8933,260.4367,62828700
2021-09-30,260.3333,263.0433,258.3333,258.4933,53868000
2021-10-01,259.4667,260.2600,254.5300,258.4067,51094200
2021-10-04,265.5000,268.9900,258.7067,260.5100,91449900
2021-10-05,261.6000,265.7700,258.0667,260.1967,55297800
2021-10-06,258.7333,262.2200,257.7400,260.9167,43898400
2021-10-07,261.8200,268.3333,261.1267,264.5367,57587400
2021-10-08,265.4033,265.4600,260.3033,261.8300,50215800
2021-10-11,262.5500,267.0800,261.8333,263.9800,42600900
2021-10-12,266.9767,270.7733,265.5233,268.5733,66060000
2021-10-13,270.1567,271.8033,268.5933,270.3600,42360300
2021-10-14,271.8300,273.4167,271.1167,272.7733,36741600
2021-10-15,274.5800,281.0700,274.1167,281.0100,56773800
2021-10-18,283.9300,291.7533,283.8233,290.0367,72621600
2021-10-19,292.5100,292.6500,287.5033,288.0900,52143300
2021-10-20,288.4500,289.8300,285.7933,288.6000,42096300
2021-10-21,285.3333,300.0000,285.1667,298.0000,94444500
2021-10-22,298.5000,303.3333,296.9867,303.2267,68642400
2021-10-25,316.8433,348.3400,314.7333,341.6200,188556300
2021-10-26,341.5633,364.9800,333.8133,339.4767,187245000
2021-10-27,346.5533,356.9600,343.5933,345.9533,115579500
2021-10-28,356.1033,360.3333,351.4000,359.0133,81639600
2021-10-29,360.6200,371.7367,357.7367,371.3333,89755200
2021-11-01,381.6667,403.2500,372.8867,402.8633,168146100
2021-11-02,386.4533,402.8633,382.0000,390.6667,128213400
2021-11-03,392.4433,405.1300,384.2067,404.6200,103885500
2021-11-04,411.4700,414.4967,405.6667,409.9700,76192200
2021-11-05,409.3333,413.2900,402.6667,407.3633,64886400
2021-11-08,383.2633,399.0000,377.6667,387.6467,100337100
2021-11-09,391.2000,391.5000,337.1733,341.1667,177317400
2021-11-10,336.8033,359.3667,329.1033,355.9833,128408100
2021-11-11,367.5900,368.3233,351.5600,354.5033,67189800
2021-11-12,349.1667,351.5000,339.7333,344.4733,76719300
2021-11-15,339.2100,343.9933,326.2000,337.7967,104326800
2021-11-16,334.4367,352.4000,334.0600,351.5767,79627200
2021-11-17,354.5033,373.2133,351.8333,363.0033,94336200
2021-11-18,368.8500,370.6667,358.3400,365.4600,62696700
2021-11-19,366.2900,379.5733,364.2333,379.0200,64926900
2021-11-22,387.4433,400.6500,377.4767,385.6233,99217500
2021-11-23,389.1700,393.5000,354.2333,369.6767,108515100
2021-11-24,360.1300,377.5900,354.0000,372.0000,67680600
2021-11-26,366.4900,369.5933,360.3333,360.6400,35042700
2021-11-29,366.9967,380.8900,366.7300,378.9967,58393500
2021-11-30,381.4567,389.3333,372.6667,381.5867,81276000
2021-12-01,386.9000,390.9467,363.5867,365.0000,68450400
2021-12-02,366.3533,371.0000,352.2167,361.5333,73114800
2021-12-03,361.5967,363.5267,333.4033,338.3233,92322000
2021-12-06,333.8367,340.5467,316.8333,336.3367,81663000
2021-12-07,348.0667,352.5567,342.2700,350.5833,56084700
2021-12-08,350.9033,357.4600,344.3333,356.3200,41906400
2021-12-09,353.5467,354.1633,334.1200,334.6000,59438400
2021-12-10,336.2500,340.3267,327.5100,339.0100,59664300
2021-12-13,333.6967,335.0000,317.1400,322.1367,78595500
2021-12-14,315.0000,322.1367,310.0000,319.5033,70806300
2021-12-15,317.7367,326.2500,309.4167,325.3300,75169200
2021-12-16,331.5000,331.6600,307.2833,308.9733,82771500
2021-12-17,304.9233,320.2200,303.0133,310.8567,100437300
2021-12-20,303.5667,307.2300,297.7967,299.9800,56480100
2021-12-21,305.6233,313.1667,295.3733,312.8433,71517900
2021-12-22,321.8867,338.5533,319.0167,336.2900,93634200
2021-12-23,335.6000,357.6600,332.5200,355.6667,92713200
2021-12-27,357.8900,372.3333,356.9067,364.6467,71145900
2021-12-28,369.8300,373.0000,359.4733,362.8233,60324000
2021-12-29,366.2133,368.0000,354.7133,362.0633,56154000
2021-12-30,353.7767,365.1833,351.0500,356.7800,47040900
2021-12-31,357.8133,360.6667,351.5300,352.2600,40733700
2022-01-03,382.5833,400.3567,378.6800,399.9267,103931400
2022-01-04,396.5167,402.6667,374.3500,383.1967,100248300
2022-01-05,382.2167,390.1133,360.3367,362.7067,80119800
2022-01-06,359.0000,362.6667,340.1667,354.9000,90336600
2022-01-07,360.1233,360.3100,336.6667,342.3200,84164700
2022-01-10,333.3333,353.0333,326.6667,352.7067,91815000
2022-01-11,351.2233,358.6167,346.2733,354.8000,66063300
2022-01-12,359.6167,371.6133,357.5300,368.7400,83739000
2022-01-13,369.6900,371.8667,342.1800,343.8533,97209900
2022-01-14,339.9600,350.6667,337.7933,349.8700,72924300
2022-01-18,342.2033,356.9300,338.6867,343.5033,66743400
2022-01-19,347.2367,351.5567,331.6667,331.8833,75442500
2022-01-20,336.5767,347.2200,331.3333,332.0900,70488600
2022-01-21,332.1133,334.8500,313.5000,314.6333,103416000
2022-01-24,301.5867,311.1700,283.8233,310.0000,151565700
2022-01-25,304.7333,317.0867,301.0700,306.1333,86595900
2022-01-26,317.4767,329.2300,302.0000,312.4700,104867400
2022-01-27,311.1200,311.7967,276.3333,276.3667,147109500
2022-01-28,277.1867,285.8333,264.0033,282.1167,134789100
2022-01-31,290.9033,312.6633,287.3500,312.2400,104436000
2022-02-01,311.7367,314.5667,301.6667,310.4167,73138200
2022-02-02,309.3933,310.5000,296.4700,301.8867,66792900
2022-02-03,294.0000,312.3333,293.5067,297.0467,78855600
2022-02-04,299.0733,312.1667,293.7233,307.7733,73625400
2022-02-07,307.9300,315.9233,300.9033,302.4467,60994500
2022-02-08,301.8433,308.7633,298.2667,307.3333,50729100
2022-02-09,311.6667,315.4233,306.6667,310.6667,52259400
2022-02-10,302.7900,314.6033,298.9000,301.5167,66126900
2022-02-11,303.2100,305.3200,283.5667,286.6667,79645800
2022-02-14,287.1900,299.6267,284.3833,291.9200,67756500
2022-02-15,300.0000,307.6667,297.7933,307.4767,57286200
2022-02-16,304.6833,308.8100,300.4033,307.7967,51294300
2022-02-17,304.4200,306.1667,291.3667,292.1167,55178400
2022-02-18,295.3333,295.6233,279.2033,285.6600,68501700
2022-02-22,278.0433,285.5767,267.0333,273.8433,83288100
2022-02-23,276.8100,278.4333,253.5200,254.6800,95256900
2022-02-24,233.4633,267.4933,233.3333,266.9233,135322200
2022-02-25,269.7433,273.1667,260.8000,269.9567,76067700
2022-02-28,271.6700,292.2867,271.5700,290.1433,99006900
2022-03-01,289.8933,296.6267,284.5933,288.1233,74766900
2022-03-02,290.7100,295.4933,281.4233,293.2967,74643300
2022-03-03,292.9233,295.4800,277.5333,279.7633,61623600
2022-03-04,283.0333,285.2167,275.0533,279.4300,66999600
2022-03-07,285.4333,288.7133,268.1900,268.1933,72494100
2022-03-08,265.1767,283.3300,260.7233,274.8000,80399100
2022-03-09,279.8267,286.8533,277.3367,286.3233,59184000
2022-03-10,283.8167,284.8167,270.1200,279.4333,58648500
2022-03-11,280.0667,281.2667,264.5900,265.1167,67037100
2022-03-14,260.2033,266.9000,252.0133,255.4567,71152200
2022-03-15,258.4233,268.5233,252.1900,267.2967,66841200
2022-03-16,269.6667,280.6667,267.4200,280.0767,84028800
2022-03-17,276.9967,291.6667,275.2400,290.5333,66582900
2022-03-18,291.4967,302.6167,289.1300,301.7967,100414200
2022-03-21,304.9933,314.2833,302.3633,307.0533,81981600
2022-03-22,310.0000,332.6200,307.2500,331.3267,105868500
2022-03-23,326.6467,346.9000,325.4667,333.0367,120676200
2022-03-24,336.5767,341.4967,329.6000,337.9733,68920800
2022-03-25,336.0000,340.6000,332.4400,336.8800,62031600
2022-03-28,355.0333,365.9600,351.2000,363.9467,102506100
2022-03-29,369.3300,371.5900,357.7033,366.5233,73614900
2022-03-30,363.7233,371.3167,361.3333,364.6633,59865000
2022-03-31,364.8567,367.7133,358.8800,359.2000,48992700
2022-04-01,360.3833,364.9167,355.5467,361.5300,54263100
2022-04-04,363.1267,383.3033,357.5100,381.8167,82035900
2022-04-05,378.7667,384.2900,362.4333,363.7533,80075100
2022-04-06,357.8233,359.6667,342.5667,348.5867,89348400
2022-04-07,350.7967,358.8633,340.5133,352.4200,79447200
2022-04-08,347.7367,349.4800,340.8133,341.8300,55013700
2022-04-11,326.8000,336.1567,324.8800,325.3100,59357100
2022-04-12,332.5467,340.3967,325.5333,328.9833,65976000
2022-04-13,327.0267,342.0800,324.3667,340.7900,55121100
2022-04-14,333.0967,337.5700,327.3967,328.3333,58422300
2022-04-18,329.6767,338.3067,324.4700,334.7633,51715200
2022-04-19,335.0200,344.9800,331.7767,342.7167,49847700
2022-04-20,343.3333,344.6667,325.0833,325.7333,70711200
2022-04-21,358.2433,364.0733,332.1400,336.2600,105416400
2022-04-22,338.3033,344.9500,331.3333,335.0167,69696600
2022-04-25,326.3233,336.2067,325.1000,332.6733,68341200
2022-04-26,331.8100,333.3333,291.6667,292.1400,136133700
2022-04-27,299.5267,306.0000,292.4533,293.8367,76956300
2022-04-28,299.9933,300.0000,273.9000,292.5033,124948500
2022-04-29,300.7500,311.4667,290.0000,290.2533,88133100
2022-05-02,286.9233,302.1200,282.6767,300.9800,75781500
2022-05-03,301.0600,308.0267,296.1967,303.0833,63709500
2022-05-04,301.3133,318.5000,295.0933,317.5400,81643800
2022-05-05,313.0067,315.2000,285.9000,291.0933,92519100
2022-05-06,295.6667,296.0000,281.0367,288.5500,72903000
2022-05-09,278.8167,281.8767,260.3833,262.3700,90810300
2022-05-10,273.1033,275.1200,258.0833,266.6800,84401700
2022-05-11,265.0000,269.9233,242.4000,244.6667,97224600
2022-05-12,233.6667,253.2200,226.6667,242.6667,140313000
2022-05-13,257.8267,262.4500,250.5233,256.5300,92150700
2022-05-16,255.7200,256.5867,239.6967,241.4567,86098500
2022-05-17,249.1200,254.8267,242.9500,253.8700,80236200
2022-05-18,248.1733,253.5000,233.6033,236.6033,87811800
2022-05-19,235.6667,244.6667,231.3700,236.4733,90296700
2022-05-20,237.9967,240.5267,211.0000,221.3000,144973200
2022-05-23,218.3400,226.6533,212.6867,224.9667,88903500
2022-05-24,217.8433,217.9733,206.8567,209.3867,89092500
2022-05-25,207.9500,223.1067,207.6700,219.6000,92139300
2022-05-26,220.4733,239.5567,217.8867,235.9100,106003200
